x,Farah,Cheptegei,Tanui,Karoki
9239.8,106.08,78.34,63.61,30.36
9309.6,102.81,73.52,61.36,26.3
9340.8,101.17,70.77,60.31,24.46
9389.1,98.34,67.12,58.62,21.6
9432,95.44,64.2,56.98,19.02
9498,90.48,60.15,53.73,14.94
9515.3,89.14,59.19,52.56,13.83
9554.4,86.32,57.24,49.41,11.29
9579,84.78,56.06,47.62,9.67
9640.3,80.95,51.96,43.94,5.81
9644,80.66,51.62,43.73,5.61
9673.8,77.86,48.44,42.02,4.27
9704.8,73.95,44.59,40.16,3.81
9771.9,63.27,35.51,35.15,3.24
9781.1,61.65,34.26,34.03,3.15
9783.3,61.26,33.97,33.7,3.13
9789.5,60.13,33.13,32.43,3.08
9792.3,59.61,32.74,22.02,3.05
9862.2,46.71,23.51,8.91,2.45
9883.4,43.15,20.74,5.63,2.35
9909,39.09,17.35,1.32,4.62
9991.2,26.88,5.78,-2.74,17.17
10029.4,21.34,0.27,32.48,28.41
